Year,"Adjusted net enrollment rate, primary, female (% of primary school age children)","Adjusted net enrollment rate, primary, male (% of primary school age children)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth male (% of males ages 15-24)","Primary completion rate, female (% of relevant age group)","Primary completion rate, male (% of relevant age group)","Repeaters, primary, female (% of female enrollment)","Repeaters, primary, male (% of male enrollment)","School enrollment, preprimary, female (% gross)","School enrollment, preprimary, male (% gross)","School enrollment, primary, female (% gross)","School enrollment, primary, male (% gross)","School enrollment, primary, female (% net)","School enrollment, primary, male (% net)","School enrollment, secondary, female (% gross)","School enrollment, secondary, male (% gross)","School enrollment, secondary, female (% net)","School enrollment, secondary, male (% net)","School enrollment, tertiary, female (% gross)","School enrollment, tertiary, male (% gross)"
1996,91.25248,93.74095,,,,,96.3574905395508,93.4554901123047,7.01439,6.85512,19.4631004333496,18.3026695251465,112.133888244629,113.628448486328,91.25248,93.74095,47.2841682434082,53.964038848877,,,8.21930027008057,14.9205503463745
1997,91.17466,93.71041,,,,,94.7054061889648,96.0781631469727,6.00173,5.70389,,,112.077079772949,113.48169708252,91.17466,93.71041,,,,,,
1998,,,,,,,,,,,,,111.829986572266,115.647010803223,,,,,,,,
1999,,,,,,,,,6.2178,6.20322,22.8274993896484,22.7341499328613,113.645492553711,114.198486328125,,,54.3752098083496,55.8727111816406,,,13.5452299118042,16.0121402740479
2000,,,,,,,,,6.2118,6.20894,24.5314903259277,23.6941299438477,110.546859741211,111.009460449219,,,55.8561706542969,56.5030288696289,,,14.1037797927856,15.7184200286865
2001,95.43455,96.84744,,,,,96.9952163696289,93.8589096069336,6.15778,6.17471,24.8820304870605,24.0311298370361,111.41316986084,111.319297790527,91.27721,92.58825,56.9421806335449,56.7857704162598,49.27326,49.89734,12.4330902099609,15.9681100845337
2002,95.02285,95.87668,,,,,98.8515014648438,95.9064865112305,5.1141,5.50376,24.7267093658447,24.0929393768311,112.110771179199,112.044563293457,90.86566,91.77368,58.7564010620117,58.0610885620117,50.48961,51.10473,13.8720703125,15.6944103240967
2003,94.16388,95.71202,,,,,100.714912414551,98.4328765869141,3.76843,3.77519,26.4907093048096,24.9911499023438,112.260879516602,111.970611572266,89.80657,91.44727,62.0009613037109,61.241870880127,53.1074,53.81393,14.269419670105,17.4696998596191
2004,93.37879,94.99409,86.7995910644531,94.0350799560547,98.5421600341797,98.8670806884766,100.510559082031,96.9008636474609,2.89004,2.88632,28.1895198822021,25.8913497924805,111.824287414551,111.399742126465,88.88332,90.56007,64.5157470703125,63.4321098327637,54.67966,55.10898,14.6324501037598,17.9362106323242
2005,91.87563,94.57581,,,,,100.761337280273,97.319938659668,3.19399,4.91302,32.0612907409668,31.035400390625,110.090660095215,111.78150177002,87.51888,90.28935,63.0397682189941,62.204231262207,53.12387,53.66057,,
