Year,"Adjusted net enrollment rate, primary Disparity","School enrollment, preprimary Disparity","School enrollment, primary (gross) Disparity","School enrollment, primary (net) Disparity","School enrollment, secondary (gross) Disparity","School enrollment, secondary (net) Disparity","School enrollment, tertiary Disparity","School enrollment, primary (gross) Disparity","School enrollment, primary (net) Disparity","School enrollment, secondary (gross) Disparity","School enrollment, secondary (net) Disparity"
1978,-10.089942605488849,59.172235427236195,-11.520541912973384,-10.089942605488849,-34.01883374195876,-30.595627528520136,-73.1136894625522,-11.520541912973384,-10.089942605488849,-34.01883374195876,-30.595627528520136
1979,19.32066642002083,26.228640072827858,-3.408064083146303,-18.73984684387345,72.40327143509995,-30.63876346810453,-34.46243491746424,-3.408064083146303,-18.73984684387345,72.40327143509995,-30.63876346810453
1980,1.6481868359958223,-3.8723074691787667,24.164694430761248,-27.822151650192435,-31.18667621702808,-38.64065969075144,-64.80507920009609,24.164694430761248,-27.822151650192435,-31.18667621702808,-38.64065969075144
1981,-9.667591265724445,-0.1282137552416221,-11.601991415435934,-9.667591265724445,-31.18667621702808,-26.272493217848446,-51.343369094396365,-11.601991415435934,-9.667591265724445,-31.18667621702808,-26.272493217848446
1982,-36.03989999972862,26.78210505301356,-9.167445916806878,6.037535395393411,-30.134127933228577,-27.79567170555941,-53.81295076893034,-9.167445916806878,6.037535395393411,-30.134127933228577,-27.79567170555941
1983,-13.357688655399254,15.796069477558957,-4.72531258217146,-34.695205320080376,-25.921318362768925,-39.85255967672746,-51.88826725961276,-4.72531258217146,-34.695205320080376,-25.921318362768925,-39.85255967672746
1984,-3.3112203405229432,10.302274405498785,-4.244499955680379,-12.065527817963346,-25.956709874533164,-33.545456941384664,-53.82492586211205,-4.244499955680379,-12.065527817963346,-25.956709874533164,-33.545456941384664
1985,-20.14653648021994,55.958912894486645,-3.826160381605712,-18.732210204807977,-74.31695363348585,-35.80338686693817,-51.343369094396365,-3.826160381605712,-18.732210204807977,-74.31695363348585,-35.80338686693817
1986,-31.06786378600111,-3.8723074691787667,-4.694255104659921,-4.9284286642960495,-52.87832276351539,-29.221769574383,-58.971272669380824,-4.694255104659921,-4.9284286642960495,-52.87832276351539,-29.221769574383
1987,-2.9546211960714417,30.11897356781203,-3.7993532380440183,-2.9546211960714417,-38.40799111663564,-30.603216656191734,-73.1136894625522,-3.7993532380440183,-2.9546211960714417,-38.40799111663564,-30.603216656191734
1988,-34.70134193518302,-8.292680669775637,-3.9734025885122324,-5.678456894033488,-19.149587978053294,-41.359212525170314,-83.23223987998877,-3.9734025885122324,-5.678456894033488,-19.149587978053294,-41.359212525170314
1989,-3.302133755237755,-3.8723074691787667,-2.6250629041252878,-3.302133755237755,-17.666191725915205,-34.03226352937947,-81.95731958916568,-2.6250629041252878,-3.302133755237755,-17.666191725915205,-34.03226352937947
1990,-3.086607945772667,-3.8723074691787667,-2.4035986518153964,-3.086607945772667,-16.057394367955258,-34.03226352937947,-81.95731958916568,-2.4035986518153964,-3.086607945772667,-16.057394367955258,-34.03226352937947
1991,-2.995317610009904,-3.8723074691787667,-0.7687000297168131,-2.995317610009904,-17.082887845789806,-34.03226352937947,-81.95731958916568,-0.7687000297168131,-2.995317610009904,-17.082887845789806,-34.03226352937947
1992,-3.382676415765356,-3.8723074691787667,0.3516975032427825,-3.382676415765356,-16.543512409725697,-34.03226352937947,-81.95731958916568,0.3516975032427825,-3.382676415765356,-16.543512409725697,-34.03226352937947
1993,-3.2022623352174833,-3.8723074691787667,-1.05271364759745,-3.2022623352174833,-18.205227021522095,-34.03226352937947,-33.17075790295726,-1.05271364759745,-3.2022623352174833,-18.205227021522095,-34.03226352937947
1994,-3.5931267751621907,-3.8723074691787667,-1.2193348097500456,-3.5931267751621907,-14.40594233844573,-34.03226352937947,-33.17075790295726,-1.2193348097500456,-3.5931267751621907,-14.40594233844573,-34.03226352937947
1995,-3.9178481939507765,5.512085125948653,-1.4351474026625093,-3.9178481939507765,-13.26007273644532,-13.507664071656912,-36.20453369040151,-1.4351474026625093,-3.9178481939507765,-13.26007273644532,-13.507664071656912
1996,-2.6546242597285308,6.340227618756679,-1.3153046280296785,-2.6546242597285308,-12.378374094969743,-13.507664071656912,-44.912888068651206,-1.3153046280296785,-2.6546242597285308,-12.378374094969743,-13.507664071656912
1997,-2.7059427015632447,6.340227618756679,-1.2377478885864786,-2.7059427015632447,-12.378374094969743,-13.507664071656912,-44.912888068651206,-1.2377478885864786,-2.7059427015632447,-12.378374094969743,-13.507664071656912
1998,-2.7059427015632447,6.340227618756679,-3.300581834710617,-2.7059427015632447,-12.378374094969743,-13.507664071656912,-44.912888068651206,-3.300581834710617,-2.7059427015632447,-12.378374094969743,-13.507664071656912
1999,-2.7059427015632447,0.41061335947365174,-0.4842391455391939,-2.7059427015632447,-2.680201732868591,-13.507664071656912,-15.406499818403491,-0.4842391455391939,-2.7059427015632447,-2.680201732868591,-13.507664071656912
2000,-2.7059427015632447,3.534041486496637,-0.41672187769944796,-2.7059427015632447,-1.144820425157226,-13.507664071656912,-10.27228075693449,-0.41672187769944796,-2.7059427015632447,-1.144820425157226,-13.507664071656912
