Year,"Adjusted net enrollment rate, primary Disparity","Literacy rate, adult Disparity","Literacy rate, youth Disparity",Primary completion rate Disparity,"Repeaters, primary Disparity","School enrollment, preprimary Disparity","School enrollment, primary (gross) Disparity","School enrollment, primary (net) Disparity","School enrollment, secondary (gross) Disparity","School enrollment, secondary (net) Disparity","School enrollment, tertiary Disparity","School enrollment, primary (gross) Disparity","School enrollment, primary (net) Disparity","School enrollment, secondary (gross) Disparity","School enrollment, secondary (net) Disparity"
1971,-13.357688655399254,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,-2.56096800400469,-15.773042898104563,-13.357688655399254,-41.33043315008009,-39.70275389771237,-67.27965636290983,-15.773042898104563,-13.357688655399254,-41.33043315008009,-39.70275389771237
1972,-13.182846509008314,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,11.775733551797805,-15.421631344223496,-13.182846509008314,-43.21384129571379,-39.70275389771237,-61.44545522546584,-15.421631344223496,-13.182846509008314,-43.21384129571379,-39.70275389771237
1973,-13.182846509008314,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,12.74036099227494,-16.919590519221117,-13.182846509008314,-42.552176465486205,-39.85255967672746,-61.44545522546584,-16.919590519221117,-13.182846509008314,-42.552176465486205,-39.85255967672746
1974,-18.415858923753614,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,18.12704143096693,-18.830108132612473,-18.415858923753614,-40.57927264880669,-38.33116970618323,-61.44545522546584,-18.830108132612473,-18.415858923753614,-40.57927264880669,-38.33116970618323
1975,-12.078321674018857,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.913958434518175,-14.036757365103202,-12.078321674018857,-36.42712281949147,-34.04451631270695,-61.44545522546584,-14.036757365103202,-12.078321674018857,-36.42712281949147,-34.04451631270695
1976,-10.935894448149359,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.913958434518175,-11.52084306453314,-10.935894448149359,-35.78206807214738,-33.545456941384664,-60.35936076114632,-11.52084306453314,-10.935894448149359,-35.78206807214738,-33.545456941384664
1977,-10.935894448149359,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.78210505301356,-11.50776630940569,-10.935894448149359,-35.294423862417375,-31.885207266563757,-60.35936076114632,-11.50776630940569,-10.935894448149359,-35.294423862417375,-31.885207266563757
1978,-10.089942605488849,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.78210505301356,-11.520541912973384,-10.089942605488849,-34.01883374195876,-30.595627528520136,-60.35936076114632,-11.520541912973384,-10.089942605488849,-34.01883374195876,-30.595627528520136
1979,-10.089942605488849,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.228640072827858,-11.520541912973384,-10.089942605488849,-34.01883374195876,-30.595627528520136,-60.35936076114632,-11.520541912973384,-10.089942605488849,-34.01883374195876,-30.595627528520136
1980,-10.089942605488849,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.228640072827858,-11.520541912973384,-10.089942605488849,-34.01883374195876,-30.595627528520136,-60.35936076114632,-11.520541912973384,-10.089942605488849,-34.01883374195876,-30.595627528520136
1981,-9.667591265724445,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.228640072827858,-11.601991415435934,-9.667591265724445,-31.18667621702808,-30.595627528520136,-60.35936076114632,-11.601991415435934,-9.667591265724445,-31.18667621702808,-30.595627528520136
1982,-9.667591265724445,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.228640072827858,-9.167445916806878,-9.667591265724445,-30.134127933228577,-30.595627528520136,-53.81295076893034,-9.167445916806878,-9.667591265724445,-30.134127933228577,-30.595627528520136
1983,-9.667591265724445,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.228640072827858,-4.72531258217146,-9.667591265724445,-25.921318362768925,-30.595627528520136,-51.88826725961276,-4.72531258217146,-9.667591265724445,-25.921318362768925,-30.595627528520136
1984,-9.667591265724445,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.228640072827858,-4.244499955680379,-9.667591265724445,-25.956709874533164,-30.595627528520136,-53.82492586211205,-4.244499955680379,-9.667591265724445,-25.956709874533164,-30.595627528520136
1985,-9.667591265724445,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.228640072827858,-3.826160381605712,-9.667591265724445,-25.956709874533164,-30.595627528520136,-51.343369094396365,-3.826160381605712,-9.667591265724445,-25.956709874533164,-30.595627528520136
1986,-9.667591265724445,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.228640072827858,-4.694255104659921,-9.667591265724445,-25.956709874533164,-30.595627528520136,-51.343369094396365,-4.694255104659921,-9.667591265724445,-25.956709874533164,-30.595627528520136
1987,-2.9546211960714417,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.228640072827858,-3.7993532380440183,-2.9546211960714417,-25.956709874533164,-30.595627528520136,-51.343369094396365,-3.7993532380440183,-2.9546211960714417,-25.956709874533164,-30.595627528520136
1988,-2.9546211960714417,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.228640072827858,-3.9734025885122324,-2.9546211960714417,-19.149587978053294,-30.595627528520136,-51.343369094396365,-3.9734025885122324,-2.9546211960714417,-19.149587978053294,-30.595627528520136
1989,-3.302133755237755,-25.531292926115785,-8.865613167583282,3.5466277157743136,-5.621277209978449,26.228640072827858,-2.6250629041252878,-3.302133755237755,-17.666191725915205,-30.595627528520136,-51.343369094396365,-2.6250629041252878,-3.302133755237755,-17.666191725915205,-30.595627528520136
1990,-3.086607945772667,-14.489601345172895,-2.3952373007610905,3.5466277157743136,-5.621277209978449,26.228640072827858,-2.4035986518153964,-3.086607945772667,-16.057394367955258,-30.595627528520136,-51.343369094396365,-2.4035986518153964,-3.086607945772667,-16.057394367955258,-30.595627528520136
1991,-2.995317610009904,-14.489601345172895,-2.3952373007610905,3.5466277157743136,-5.621277209978449,26.228640072827858,-0.7687000297168131,-2.995317610009904,-17.082887845789806,-30.595627528520136,-51.343369094396365,-0.7687000297168131,-2.995317610009904,-17.082887845789806,-30.595627528520136
1992,-3.382676415765356,-14.489601345172895,-2.3952373007610905,3.5466277157743136,-5.621277209978449,26.228640072827858,0.3516975032427825,-3.382676415765356,-16.543512409725697,-30.595627528520136,-51.343369094396365,0.3516975032427825,-3.382676415765356,-16.543512409725697,-30.595627528520136
1993,-3.2022623352174833,-14.489601345172895,-2.3952373007610905,3.5466277157743136,-5.621277209978449,26.228640072827858,-1.05271364759745,-3.2022623352174833,-18.205227021522095,-30.595627528520136,-33.17075790295726,-1.05271364759745,-3.2022623352174833,-18.205227021522095,-30.595627528520136
1994,-3.5931267751621907,-14.489601345172895,-2.3952373007610905,3.5466277157743136,-5.621277209978449,26.228640072827858,-1.2193348097500456,-3.5931267751621907,-14.40594233844573,-30.595627528520136,-33.17075790295726,-1.2193348097500456,-3.5931267751621907,-14.40594233844573,-30.595627528520136
1995,-3.9178481939507765,-14.489601345172895,-2.3952373007610905,3.5466277157743136,-5.621277209978449,5.512085125948653,-1.4351474026625093,-3.9178481939507765,-13.26007273644532,-13.507664071656912,-36.20453369040151,-1.4351474026625093,-3.9178481939507765,-13.26007273644532,-13.507664071656912
1996,-2.6546242597285308,-14.489601345172895,-2.3952373007610905,3.105221987235617,2.3233728950040167,6.340227618756679,-1.3153046280296785,-2.6546242597285308,-12.378374094969743,-13.507664071656912,-44.912888068651206,-1.3153046280296785,-2.6546242597285308,-12.378374094969743,-13.507664071656912
1997,-2.7059427015632447,-14.489601345172895,-2.3952373007610905,-1.4287918430621576,5.221699576955373,6.340227618756679,-1.2377478885864786,-2.7059427015632447,-12.378374094969743,-13.507664071656912,-44.912888068651206,-1.2377478885864786,-2.7059427015632447,-12.378374094969743,-13.507664071656912
1998,-2.7059427015632447,-14.489601345172895,-2.3952373007610905,-1.4287918430621576,5.221699576955373,6.340227618756679,-3.300581834710617,-2.7059427015632447,-12.378374094969743,-13.507664071656912,-44.912888068651206,-3.300581834710617,-2.7059427015632447,-12.378374094969743,-13.507664071656912
1999,-2.7059427015632447,-14.489601345172895,-2.3952373007610905,-1.4287918430621576,0.23503922156558177,0.41061335947365174,-0.4842391455391939,-2.7059427015632447,-2.680201732868591,-13.507664071656912,-15.406499818403491,-0.4842391455391939,-2.7059427015632447,-2.680201732868591,-13.507664071656912
2000,-2.7059427015632447,-14.489601345172895,-2.3952373007610905,-1.4287918430621576,0.046062612941985014,3.534041486496637,-0.41672187769944796,-2.7059427015632447,-1.144820425157226,-13.507664071656912,-10.27228075693449,-0.41672187769944796,-2.7059427015632447,-1.144820425157226,-13.507664071656912
2001,-1.458882134623284,-14.489601345172895,-2.3952373007610905,3.341512037407715,-0.27418291709246806,3.540826651908042,0.0843268617177584,-1.415989609912711,0.27543910408991046,-1.2507279947187553,-22.137997896173882,0.0843268617177584,-1.415989609912711,0.27543910408991046,-1.2507279947187553
2002,-0.8905502359906371,-14.489601345172895,-2.3952373007610905,3.0707150900251707,-7.079887204383914,2.6305216607279713,0.059090672314547774,-0.9894122149182569,1.1975533308463153,-1.2036459247510056,-11.611395229030913,0.059090672314547774,-0.9894122149182569,1.1975533308463153,-1.2036459247510056
2003,-1.617497990325551,-14.489601345172895,-2.3952373007610905,2.3183675076506587,-0.17906383519769542,6.00036176136562,0.25923583006302436,-1.7941486935586042,1.2394958100965268,-1.312912846171987,-18.3190336138029,0.25923583006302436,-1.7941486935586042,1.2394958100965268,-1.312912846171987
2004,-1.7004215735947414,-7.694457105776863,-0.32864392478696336,3.72514268572743,0.12888383824385188,8.876208108659691,0.3811007817271563,-1.851533462816447,1.708341785265802,-0.7790381894203161,-18.419501177190934,0.3811007817271563,-1.851533462816447,1.708341785265802,-0.7790381894203161
2005,-2.855042954429894,-7.694457105776863,-0.32864392478696336,3.5361701497158955,-34.98927340006758,3.305548945492877,-1.5126310239450431,-3.0684349815343706,1.3432156299224884,-1.0001757342495678,-18.419501177190934,-1.5126310239450431,-3.0684349815343706,1.3432156299224884,-1.0001757342495678
2006,-2.8466663914874424,-6.695730327709813,-0.7782452407433983,2.4193300796333723,-35.693398057816644,3.489661429341135,-1.6566122790591518,-3.0334671004223286,2.9257588543506796,0.8248079578038211,-5.913207638259501,-1.6566122790591518,-3.0334671004223286,2.9257588543506796,0.8248079578038211
2007,-3.5234906301518674,-6.695730327709813,-0.7782452407433983,-0.14682759333830886,-32.931917962473264,4.8070191288143365,-2.394201064002685,-3.7250148729559056,2.9953390031879974,0.6362696602653016,2.253465300617637,-2.394201064002685,-3.7250148729559056,2.9953390031879974,0.6362696602653016
2008,-1.8116194283084401,-6.585856016586017,-0.15579565429309059,0.5666402515796319,-38.79176352073491,3.1324022836189775,-0.8668820479585733,-1.8778859742555432,1.58279077497223,-0.6868867180160854,-5.01958490341323,-0.8668820479585733,-1.8778859742555432,1.58279077497223,-0.6868867180160854
2009,-2.11948096012363,-6.241590154303656,-0.15413594281274498,2.6380838199224947,-37.285063485209875,5.76828145114679,-1.57728838621705,-2.2263688638135095,1.5446674637321542,-1.440025657964432,-0.9152805688113698,-1.57728838621705,-2.2263688638135095,1.5446674637321542,-1.440025657964432
2010,0.6400935065856708,-6.241590154303656,-0.15413594281274498,-7.769787232123298,-30.068877505075115,4.559860798118652,3.534048062693498,0.5100220286110211,2.525723400262337,-0.35960954281809604,-7.80175831835517,3.534048062693498,0.5100220286110211,2.525723400262337,-0.35960954281809604
2011,3.946076837075876,-5.7770915648620855,-0.052670118653264604,4.322174960357297,3.900184316711619,6.344476438445737,3.4855110218890326,3.9127456608784907,1.9554566542668863,0.49682411986246644,-9.851318985893817,3.4855110218890326,3.9127456608784907,1.9554566542668863,0.49682411986246644
2012,0.9096993173617441,-5.7770915648620855,-0.052670118653264604,2.98748006987067,-11.806937846429603,3.7248420757042022,-0.6281508716477314,0.9341822870383555,3.6459856652774314,2.9926327365840724,8.974168467662796,-0.6281508716477314,0.9341822870383555,3.6459856652774314,2.9926327365840724
2013,0.8641028896463636,-5.7770915648620855,-0.052670118653264604,2.8643714044041793,-17.167564697103575,3.545616454670598,-0.8046720155301054,0.9088157959958792,-2.43418525386419,-2.6315606775440905,15.436797474248781,-0.8046720155301054,0.9088157959958792,-2.43418525386419,-2.6315606775440905
2014,-1.1959332167297858,-3.4508482223475156,-0.0027323949763853553,-5.647398811874921,-14.063606026898572,3.172454780828813,-2.9677723328248744,-1.2630134066731398,-0.422641549870163,-0.8585062716423916,15.05396808791038,-2.9677723328248744,-1.2630134066731398,-0.422641549870163,-0.8585062716423916
2015,-1.1959332167297858,-3.883171723072934,-0.0649367096647408,-5.974092921181649,-45.159812776433874,3.172454780828813,-3.3190261801346157,-1.2630134066731398,0.4583053955191948,1.3183148457919431,13.427391246255615,-3.3190261801346157,-1.2630134066731398,0.4583053955191948,1.3183148457919431
2016,-4.602677716905438,-3.6918317624580568,-0.030032813374292488,-0.7915748002284981,-44.55228695802322,-9.309067768957762,-3.567086841433488,-4.985815802009619,2.9637657712579495,1.3183148457919431,14.791923321793854,-3.567086841433488,-4.985815802009619,2.9637657712579495,1.3183148457919431
2017,-4.358714464771522,-3.6918317624580568,-0.6404477010847622,-1.7759850160874442,-46.79441566966182,-9.510867938326951,-3.5794242637420237,-4.683089076368244,2.18510083391529,1.3183148457919431,15.524862577713684,-3.5794242637420237,-4.683089076368244,2.18510083391529,1.3183148457919431
2018,-4.7535386579215615,-3.4307112264845676,-0.02129276053795571,-1.9037149461473835,-39.97522497905053,-9.603219647928542,-3.6231748356655302,-5.131275494677833,2.065618927965372,2.888154667216881,15.984213701699657,-3.6231748356655302,-5.131275494677833,2.065618927965372,2.888154667216881
2019,-4.7535386579215615,-3.4307112264845676,-0.02129276053795571,-0.7424782969983563,-39.97522497905053,-9.603219647928542,-3.2075479294479172,-5.131275494677833,2.152203187413557,2.888154667216881,12.36074434054206,-3.2075479294479172,-5.131275494677833,2.152203187413557,2.888154667216881
2020,-4.7535386579215615,-2.972783889861682,0.003784965337774707,-1.4496461101649492,-39.97522497905053,-9.603219647928542,-3.4153925860966217,-5.131275494677833,0.7195759180353336,2.888154667216881,15.128837789889015,-3.4153925860966217,-5.131275494677833,0.7195759180353336,2.888154667216881
2021,-4.7535386579215615,-2.972783889861682,0.003784965337774707,-2.407565321070633,-39.97522497905053,-9.603219647928542,-3.4192488611363823,-5.131275494677833,0.9926534638820175,2.888154667216881,17.98566370698173,-3.4192488611363823,-5.131275494677833,0.9926534638820175,2.888154667216881
2022,-4.7535386579215615,-2.972783889861682,0.003784965337774707,-2.723278978620587,-39.97522497905053,-9.603219647928542,-3.494188523275005,-5.131275494677833,0.8001572501650662,2.888154667216881,21.987018956444484,-3.494188523275005,-5.131275494677833,0.8001572501650662,2.888154667216881
2023,-4.7535386579215615,-2.972783889861682,0.003784965337774707,-2.723278978620587,-39.97522497905053,-9.603219647928542,-3.494188523275005,-5.131275494677833,0.8001572501650662,2.888154667216881,21.987018956444484,-3.494188523275005,-5.131275494677833,0.8001572501650662,2.888154667216881
